#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
72        	5         	ok              	1.8550000000e-03	3.0000000000e+02	9.8054780358e+16	4.4785655611e+16	4.9584718854e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	5         	ok              	1.4490000000e-03	3.0000000000e+02	7.6593733182e+16	3.4983512119e+16	4.9584718265e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	5         	ok              	1.1320000000e-03	3.0000000000e+02	5.9837201019e+16	2.7330114367e+16	4.9584717302e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	5         	ok              	8.8370000000e-04	3.0000000000e+02	4.6712131497e+16	2.1335355182e+16	4.9584715720e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	5         	ok              	6.9010000000e-04	3.0000000000e+02	3.6478488476e+16	1.6661229616e+16	4.9584713136e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	5         	ok              	5.3890000000e-04	3.0000000000e+02	2.8486097329e+16	1.3010776177e+16	4.9584708917e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	5         	ok              	4.2090000000e-04	3.0000000000e+02	2.2248648554e+16	1.0161877330e+16	4.9584702052e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	5         	ok              	3.2870000000e-04	3.0000000000e+02	1.7374980133e+16	7.9358733150e+15	4.9584690921e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80        	5         	ok              	2.5670000000e-04	3.0000000000e+02	1.3569077544e+16	6.1975621538e+15	4.9584673006e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
81        	5         	ok              	2.0050000000e-04	3.0000000000e+02	1.0598357944e+16	4.8407137197e+15	4.9584644512e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	5         	ok              	1.5650000000e-04	3.0000000000e+02	8.2725262980e+15	3.7784124545e+15	4.9584599807e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	5         	ok              	1.2220000000e-04	3.0000000000e+02	6.4594333929e+15	2.9503003319e+15	4.9584531744e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	5         	ok              	9.5470000000e-05	3.0000000000e+02	5.0464882697e+15	2.3049523133e+15	4.9584432085e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
